Genome assembly,Cell type class,Cell type,Number of experiments,Experimental IDs included
mm9,Blood,CD4-Positive T-Lymphocytes,473,"DRX003661,DRX003662,DRX003663,DRX003664,DRX028563,DRX028564,DRX028565,DRX028566,DRX028567,DRX028568,DRX028569,DRX028570,DRX028571,DRX028572,DRX028573,DRX028574,DRX028575,DRX028576,DRX028577,DRX028578,DRX036213,DRX036214,ERX1376815,ERX1376816,ERX1376817,ERX1376818,ERX1376819,ERX1376820,ERX1376821,ERX1376822,SRX003804,SRX003808,SRX015574,SRX015575,SRX015576,SRX015577,SRX015578,SRX015579,SRX015580,SRX015581,SRX015582,SRX015583,SRX015584,SRX015585,SRX015586,SRX015587,SRX015588,SRX015589,SRX015590,SRX015591,SRX015592,SRX015593,SRX015594,SRX015595,SRX015596,SRX015597,SRX015598,SRX015599,SRX015601,SRX015603,SRX015604,SRX015605,SRX015606,SRX015607,SRX015608,SRX015609,SRX028629,SRX028630,SRX028631,SRX039649,SRX039655,SRX083251,SRX083252,SRX083253,SRX092580,SRX092581,SRX092582,SRX092583,SRX092584,SRX092585,SRX092586,SRX092587,SRX092588,SRX092589,SRX092590,SRX092591,SRX092592,SRX092593,SRX1036622,SRX1036623,SRX1036624,SRX1036630,SRX1036631,SRX1036632,SRX1036633,SRX1036634,SRX1036635,SRX1036636,SRX1036637,SRX1036638,SRX1036639,SRX1036640,SRX1036641,SRX1036646,SRX1036647,SRX1047896,SRX1047897,SRX1047898,SRX1047899,SRX1047900,SRX1047901,SRX1047902,SRX1047903,SRX1047904,SRX1047905,SRX1047906,SRX1047907,SRX1047908,SRX1047909,SRX1047910,SRX1047911,SRX1047912,SRX1047913,SRX1047914,SRX1047915,SRX1047916,SRX1047917,SRX1047918,SRX1047919,SRX1047920,SRX1047921,SRX1047922,SRX1047923,SRX1047924,SRX1047925,SRX1047926,SRX1047927,SRX1047928,SRX1063034,SRX1063035,SRX1063036,SRX1063037,SRX1091911,SRX1091912,SRX1091913,SRX1091914,SRX1091915,SRX1091916,SRX1091917,SRX1091918,SRX1092457,SRX1092458,SRX1096803,SRX1096804,SRX1144904,SRX1144905,SRX114976,SRX114977,SRX114978,SRX114979,SRX114980,SRX114981,SRX114982,SRX114983,SRX1267275,SRX1267276,SRX1267277,SRX1267278,SRX1267279,SRX1286375,SRX1286376,SRX1286377,SRX1286378,SRX1286379,SRX1286380,SRX1286381,SRX1286382,SRX1286385,SRX1286386,SRX1286387,SRX1286388,SRX1286389,SRX1286390,SRX1286391,SRX1286392,SRX1310994,SRX1310995,SRX1310996,SRX1310997,SRX1311014,SRX1311015,SRX1311016,SRX1311017,SRX1311027,SRX1311028,SRX1311029,SRX1420190,SRX172325,SRX172326,SRX172327,SRX172328,SRX172329,SRX172330,SRX172331,SRX172332,SRX172333,SRX172334,SRX172335,SRX172336,SRX172337,SRX172338,SRX172339,SRX172340,SRX172341,SRX1758427,SRX1758428,SRX1758429,SRX1758430,SRX1758431,SRX1758432,SRX1758433,SRX1758434,SRX1758435,SRX179486,SRX179487,SRX179488,SRX179489,SRX183975,SRX184866,SRX184868,SRX184870,SRX188652,SRX188653,SRX188660,SRX191006,SRX191007,SRX191050,SRX2263357,SRX2263358,SRX2263359,SRX2263360,SRX2263361,SRX2263362,SRX2263363,SRX2263364,SRX2268186,SRX2268187,SRX2315739,SRX2315740,SRX2315741,SRX2315742,SRX2315743,SRX2315744,SRX2315745,SRX2315746,SRX2315747,SRX2315748,SRX2315749,SRX2315750,SRX2379962,SRX2606520,SRX2606521,SRX2606522,SRX2606523,SRX2606524,SRX2606525,SRX2606526,SRX2606527,SRX2606528,SRX2606529,SRX2606530,SRX2606531,SRX2606532,SRX2606533,SRX2606534,SRX2606535,SRX2606536,SRX2606537,SRX2606538,SRX2606539,SRX2606540,SRX2606541,SRX2606542,SRX2606543,SRX2606544,SRX2606545,SRX2606546,SRX2606547,SRX2606548,SRX2606549,SRX2606550,SRX2606551,SRX264235,SRX264236,SRX2647470,SRX2647471,SRX2647472,SRX2647473,SRX2647474,SRX2647475,SRX2647476,SRX2647477,SRX2647478,SRX2647479,SRX2647480,SRX2647481,SRX2647482,SRX2647483,SRX2647484,SRX2647485,SRX2647486,SRX2647487,SRX2647488,SRX2647489,SRX2647490,SRX2647491,SRX2647492,SRX2647493,SRX2647494,SRX2647495,SRX2647496,SRX2647497,SRX2647498,SRX2647499,SRX2647500,SRX2647501,SRX2647502,SRX2647503,SRX2647504,SRX270568,SRX270569,SRX270570,SRX272969,SRX272970,SRX272971,SRX272972,SRX272973,SRX272974,SRX2877518,SRX3041631,SRX3041632,SRX3067394,SRX3067395,SRX3067396,SRX3067397,SRX3067398,SRX3067399,SRX3067400,SRX3067403,SRX3067404,SRX3067405,SRX3067406,SRX3067407,SRX3067408,SRX3067409,SRX3067410,SRX3067411,SRX3067412,SRX332738,SRX332739,SRX364618,SRX364619,SRX364620,SRX364621,SRX364622,SRX366586,SRX385474,SRX385475,SRX385476,SRX385477,SRX385478,SRX385479,SRX415267,SRX415268,SRX415269,SRX415270,SRX415271,SRX415272,SRX415273,SRX415274,SRX621428,SRX621429,SRX621430,SRX621431,SRX621432,SRX621433,SRX621434,SRX621435,SRX658386,SRX658402,SRX658420,SRX658434,SRX682273,SRX682274,SRX682275,SRX682276,SRX708755,SRX708756,SRX708757,SRX708758,SRX708759,SRX708760,SRX708761,SRX708762,SRX708763,SRX708764,SRX758042,SRX758043,SRX758044,SRX758045,SRX832470,SRX832471,SRX832472,SRX832473,SRX832474,SRX832475,SRX832476,SRX832477,SRX832478,SRX832479,SRX832480,SRX832481,SRX842729,SRX842730,SRX842731,SRX842732,SRX842733,SRX842734,SRX842735,SRX865018,SRX865019,SRX865020,SRX865021,SRX865022,SRX865023,SRX865024,SRX865025,SRX865026,SRX865027,SRX865028,SRX865029,SRX865030,SRX865031,SRX865032,SRX865033,SRX865034,SRX865035,SRX865036,SRX865037,SRX865038,SRX877592,SRX877593,SRX877594,SRX877595,SRX877596,SRX877597,SRX974243,SRX974245,SRX974246,SRX974247,SRX974248,SRX974249,SRX974250,SRX974251,SRX974252,SRX974253,SRX974254,SRX974255,SRX974256,SRX974414,SRX974417,SRX974419,SRX974420"
mm9,Blood,CD45 positive cells,3,"SRX472651,SRX472652,SRX472653"
mm9,Blood,CD8-Positive T-Lymphocytes,132,"SRX018104,SRX039481,SRX039482,SRX077029,SRX083254,SRX083255,SRX083256,SRX1070596,SRX1070597,SRX1070598,SRX1070599,SRX1070603,SRX1070614,SRX1070615,SRX1176003,SRX1176004,SRX1267265,SRX1267266,SRX1267267,SRX1267268,SRX1267269,SRX1267270,SRX1267271,SRX1267272,SRX1267273,SRX1267274,SRX1267280,SRX1267281,SRX1267288,SRX1267289,SRX1267290,SRX1267291,SRX1267292,SRX1267293,SRX1482900,SRX1482901,SRX1482902,SRX1482903,SRX1482904,SRX1482905,SRX1482906,SRX1482907,SRX1482908,SRX1482909,SRX1482910,SRX1482911,SRX1482912,SRX1482913,SRX1482914,SRX1613080,SRX1613081,SRX1613082,SRX1639582,SRX1639583,SRX1799805,SRX1799806,SRX1799807,SRX1799808,SRX1799809,SRX2527471,SRX2527472,SRX2527473,SRX2527474,SRX2527475,SRX2527476,SRX2527477,SRX2527478,SRX278097,SRX278098,SRX278099,SRX278100,SRX2789142,SRX2789143,SRX3067401,SRX3067402,SRX316285,SRX335748,SRX335749,SRX338024,SRX338025,SRX338026,SRX338027,SRX338028,SRX338034,SRX338035,SRX338036,SRX338037,SRX338038,SRX338039,SRX338040,SRX373141,SRX373142,SRX437445,SRX437446,SRX437447,SRX437448,SRX437449,SRX437450,SRX437451,SRX437452,SRX437453,SRX437454,SRX437455,SRX437456,SRX437457,SRX437458,SRX437459,SRX437460,SRX437461,SRX437462,SRX437463,SRX437464,SRX437465,SRX437466,SRX437467,SRX554972,SRX554973,SRX554974,SRX554975,SRX554976,SRX658387,SRX658403,SRX658421,SRX658435,SRX994932,SRX994933,SRX994934,SRX994935,SRX994936,SRX994937,SRX994938,SRX994939"
mm9,Blood,CH12,65,"SRX097685,SRX097686,SRX140354,SRX140361,SRX140363,SRX140364,SRX140365,SRX140369,SRX140371,SRX140372,SRX140373,SRX140374,SRX140375,SRX140380,SRX140381,SRX140383,SRX140385,SRX140387,SRX140388,SRX140389,SRX140393,SRX140394,SRX145048,SRX145049,SRX145064,SRX153161,SRX153168,SRX153170,SRX153172,SRX153186,SRX153188,SRX185812,SRX185835,SRX185836,SRX185837,SRX185838,SRX185839,SRX185840,SRX185843,SRX188794,SRX188801,SRX188802,SRX188803,SRX188806,SRX188812,SRX188813,SRX188815,SRX188816,SRX188820,SRX188821,SRX188822,SRX188823,SRX191011,SRX348517,SRX348589,SRX348590,SRX348592,SRX348597,SRX371309,SRX371310,SRX371731,SRX371732,SRX371733,SRX371734,SRX371735"
mm9,Blood,"Carcinoma, Squamous Cell",5,"SRX1156552,SRX1156553,SRX1156554,SRX1156555,SRX1426082"
mm9,Blood,Common lymphoid progenitor,4,"SRX658389,SRX658405,SRX658419,SRX658437"
mm9,Blood,D10.G4.1,2,"DRX012366,DRX012367"
mm9,Blood,Dendritic Cells,357,"ERX132624,ERX132628,ERX132640,ERX132641,ERX132649,ERX132650,ERX132654,ERX132655,ERX132658,ERX132659,ERX132716,ERX132717,ERX132718,ERX132719,ERX132720,ERX132721,SRX029286,SRX029287,SRX029288,SRX029289,SRX029290,SRX029291,SRX029292,SRX029293,SRX029294,SRX032970,SRX041328,SRX041329,SRX041330,SRX041331,SRX041332,SRX041333,SRX047218,SRX099234,SRX099235,SRX099238,SRX099239,SRX099243,SRX099244,SRX099245,SRX099246,SRX099249,SRX099250,SRX099251,SRX099252,SRX099253,SRX099254,SRX099257,SRX099258,SRX1182323,SRX1182324,SRX122382,SRX122383,SRX122384,SRX122385,SRX122386,SRX122387,SRX122388,SRX122389,SRX122390,SRX122391,SRX122392,SRX122393,SRX122394,SRX122395,SRX122396,SRX122397,SRX122398,SRX122399,SRX122400,SRX122401,SRX122402,SRX122403,SRX122404,SRX122405,SRX122406,SRX122407,SRX122408,SRX122409,SRX122410,SRX122411,SRX122412,SRX122413,SRX122414,SRX122415,SRX122416,SRX122417,SRX122418,SRX122419,SRX122420,SRX122421,SRX122422,SRX122423,SRX122424,SRX122425,SRX122426,SRX122427,SRX122428,SRX122429,SRX122430,SRX122431,SRX122432,SRX122433,SRX122434,SRX122435,SRX122436,SRX122437,SRX122438,SRX122439,SRX122440,SRX122441,SRX122442,SRX122443,SRX122444,SRX122445,SRX122446,SRX122447,SRX122448,SRX122449,SRX122450,SRX122451,SRX122452,SRX122453,SRX122454,SRX122455,SRX122456,SRX122457,SRX122458,SRX122459,SRX122460,SRX122461,SRX122462,SRX122463,SRX122464,SRX122465,SRX122466,SRX122467,SRX122468,SRX122469,SRX122470,SRX122471,SRX122472,SRX122473,SRX122474,SRX122475,SRX122476,SRX122477,SRX122478,SRX122479,SRX122480,SRX122481,SRX122482,SRX122483,SRX122484,SRX122485,SRX122486,SRX122487,SRX122488,SRX122489,SRX122490,SRX122491,SRX122492,SRX122493,SRX122494,SRX122495,SRX122496,SRX122497,SRX122498,SRX122499,SRX122500,SRX122501,SRX122502,SRX122503,SRX122504,SRX122505,SRX122506,SRX122507,SRX122508,SRX122509,SRX122510,SRX122511,SRX122512,SRX122513,SRX122514,SRX122515,SRX122516,SRX122517,SRX122518,SRX122519,SRX122520,SRX122521,SRX122522,SRX122523,SRX122524,SRX122525,SRX122526,SRX122527,SRX122528,SRX122529,SRX122530,SRX122531,SRX122532,SRX122533,SRX122534,SRX122535,SRX122536,SRX122537,SRX122538,SRX122539,SRX122540,SRX122541,SRX122542,SRX122543,SRX122544,SRX122545,SRX122546,SRX122547,SRX122548,SRX122549,SRX122550,SRX122551,SRX122552,SRX122553,SRX122554,SRX122555,SRX122556,SRX122557,SRX122558,SRX122559,SRX122560,SRX122561,SRX122562,SRX122563,SRX122564,SRX122565,SRX122566,SRX122567,SRX122568,SRX122569,SRX122570,SRX122571,SRX122572,SRX122573,SRX122574,SRX122575,SRX122576,SRX122577,SRX1255003,SRX1255004,SRX1255005,SRX1255006,SRX1255009,SRX1255010,SRX128096,SRX128097,SRX1365211,SRX1365212,SRX1365213,SRX1365214,SRX1365215,SRX185714,SRX185717,SRX318580,SRX318581,SRX318582,SRX318583,SRX330712,SRX330713,SRX390504,SRX390505,SRX390506,SRX391769,SRX391770,SRX391771,SRX540684,SRX540685,SRX540686,SRX540700,SRX540701,SRX540702,SRX667873,SRX667874,SRX667875,SRX667876,SRX667877,SRX667878,SRX667879,SRX667880,SRX708765,SRX708766,SRX708767,SRX708768,SRX708769,SRX708770,SRX708771,SRX708772,SRX708773,SRX708774,SRX742820,SRX742821,SRX742822,SRX742823,SRX742824,SRX742825,SRX742826,SRX742827,SRX742828,SRX742829,SRX742830,SRX742831,SRX742832,SRX742833,SRX742834,SRX742835,SRX742836,SRX742837,SRX835918,SRX835919,SRX835920,SRX835922,SRX835923,SRX835924,SRX835926,SRX835927,SRX835928,SRX885956,SRX885957,SRX885958,SRX885959,SRX891784,SRX891785,SRX891786,SRX891787,SRX891788,SRX891789,SRX891790,SRX891791,SRX892428,SRX892429,SRX892430,SRX892431,SRX892432,SRX892433,SRX956766,SRX956767,SRX956768,SRX956769,SRX956770,SRX956771,SRX956772,SRX956773,SRX956774,SRX956775,SRX956776,SRX956777,SRX956778,SRX956779"
mm9,Blood,Dendritic cell progenitor,3,"SRX1255001,SRX1255002,SRX1255008"
mm9,Blood,ECOMG,10,"SRX2463390,SRX2463392,SRX2463394,SRX2463396,SRX2463398,SRX2463400,SRX2463402,SRX2463404,SRX2463406,SRX2463408"
mm9,Blood,EL4,11,"SRX3155915,SRX3155916,SRX3155917,SRX3155918,SRX3155919,SRX3155920,SRX3155921,SRX3155922,SRX495629,SRX495630,SRX495631"
mm9,Blood,EML ,14,"SRX092472,SRX092473,SRX092474,SRX092475,SRX092476,SRX2974917,SRX2974918,SRX2974919,SRX2974920,SRX2974921,SRX738256,SRX738257,SRX738258,SRX738259"
mm9,Blood,Erythroblasts,51,"SRX079886,SRX079887,SRX079888,SRX079889,SRX079890,SRX145055,SRX145062,SRX145065,SRX153164,SRX153176,SRX153183,SRX153184,SRX153187,SRX153189,SRX203209,SRX203210,SRX203211,SRX203212,SRX203222,SRX203223,SRX461523,SRX461524,SRX461525,SRX461526,SRX461527,SRX461528,SRX461529,SRX461530,SRX461531,SRX461532,SRX461533,SRX461534,SRX461535,SRX461536,SRX461537,SRX461538,SRX744012,SRX744013,SRX744014,SRX744015,SRX744016,SRX744017,SRX744018,SRX744019,SRX744020,SRX744021,SRX838203,SRX838204,SRX838205,SRX838206,SRX838207"
mm9,Blood,Erythrocytes,8,"SRX658380,SRX658381,SRX658396,SRX658397,SRX658412,SRX658413,SRX658428,SRX658429"
mm9,Blood,Erythroid Cells,2,"SRX2741802,SRX2741803"
mm9,Blood,FDC-P1,4,"SRX1744939,SRX1744940,SRX1744941,SRX1744942"
mm9,Blood,FDCPmix,17,"SRX340953,SRX340954,SRX340955,SRX340956,SRX340957,SRX340958,SRX340959,SRX340960,SRX340961,SRX340962,SRX340963,SRX340964,SRX340965,SRX340966,SRX340967,SRX340968,SRX340969"
mm9,Blood,Follicular B cells,4,"SRX1293657,SRX1293658,SRX1293665,SRX1293666"
mm9,Blood,Follicular helper T cells,8,"SRX100611,SRX100612,SRX100613,SRX100614,SRX100615,SRX100616,SRX1158860,SRX1158862"
mm9,Blood,G1E,100,"SRX013185,SRX013186,SRX079859,SRX079860,SRX079861,SRX079862,SRX079863,SRX079864,SRX079865,SRX079866,SRX079867,SRX079868,SRX079869,SRX079870,SRX079871,SRX079872,SRX079873,SRX079874,SRX079875,SRX079876,SRX079877,SRX079878,SRX079879,SRX079880,SRX079881,SRX079882,SRX079883,SRX079884,SRX079885,SRX081541,SRX100312,SRX100313,SRX100314,SRX100315,SRX100316,SRX100317,SRX1030248,SRX1030249,SRX1030250,SRX1030252,SRX1030253,SRX1030254,SRX1030256,SRX1030257,SRX1030258,SRX1030259,SRX1030260,SRX1030261,SRX130172,SRX130173,SRX130174,SRX130175,SRX145047,SRX145050,SRX145051,SRX145052,SRX145056,SRX145059,SRX145060,SRX145061,SRX145067,SRX145068,SRX145069,SRX145070,SRX153159,SRX153160,SRX153166,SRX153169,SRX153171,SRX153173,SRX153174,SRX153175,SRX153177,SRX153178,SRX153182,SRX153185,SRX181736,SRX181737,SRX181738,SRX181739,SRX181740,SRX181741,SRX181742,SRX181743,SRX181744,SRX181745,SRX181748,SRX181749,SRX186534,SRX186535,SRX710369,SRX710370,SRX710371,SRX710372,SRX717115,SRX717116,SRX717117,SRX717118,SRX717119,SRX717120"
mm9,Blood,G1E-ER4+E2,48,"SRX1838184,SRX1838185,SRX1838916,SRX1838917,SRX1838918,SRX1838919,SRX1838920,SRX1838921,SRX1838922,SRX1838923,SRX1838924,SRX1838925,SRX1838926,SRX1838927,SRX1838928,SRX1838929,SRX1838930,SRX1838931,SRX1838932,SRX1838933,SRX1838934,SRX1838935,SRX1838936,SRX1838937,SRX1838938,SRX1838939,SRX1838940,SRX1838941,SRX1838942,SRX1838943,SRX1838944,SRX1838945,SRX1838946,SRX1838947,SRX1838948,SRX1838949,SRX1838950,SRX1838951,SRX1838952,SRX1838953,SRX1838954,SRX1838955,SRX1838956,SRX1838957,SRX1838958,SRX1838959,SRX1838960,SRX1838961"
mm9,Blood,G1ME,21,"SRX092597,SRX092598,SRX092599,SRX092600,SRX092601,SRX092602,SRX092603,SRX119324,SRX119325,SRX119326,SRX718012,SRX718013,SRX718014,SRX718015,SRX718016,SRX718017,SRX718018,SRX718019,SRX816546,SRX816547,SRX816548"
mm9,Blood,Germinal Center,4,"SRX1726746,SRX1726747,SRX1726748,SRX1726749"
mm9,Blood,Granulocyte-Macrophage Progenitor Cells,5,"SRX061975,SRX061978,SRX061981,SRX061984,SRX203203"
mm9,Blood,Granulocytes,23,"SRX181859,SRX181860,SRX181861,SRX181862,SRX181863,SRX181864,SRX181865,SRX181866,SRX2013788,SRX2013789,SRX2013790,SRX2013791,SRX203213,SRX203214,SRX203215,SRX203216,SRX203217,SRX203224,SRX203225,SRX658382,SRX658398,SRX658414,SRX658430"
mm9,Blood,Granulocytic-monocytic progenitors,30,"DRX002667,DRX002668,DRX002669,DRX002670,DRX002671,DRX002672,DRX002673,DRX002674,SRX1630944,SRX1630945,SRX1630946,SRX1630947,SRX1630948,SRX1630949,SRX487078,SRX487079,SRX487080,SRX487081,SRX487082,SRX487083,SRX487084,SRX487085,SRX487086,SRX487087,SRX658378,SRX658394,SRX658410,SRX658426,SRX811397,SRX811398"
mm9,Blood,HAFTL,71,"SRX1117076,SRX1117077,SRX1117078,SRX1117079,SRX1117080,SRX1117081,SRX1117082,SRX1117083,SRX1117084,SRX1117085,SRX1117086,SRX1117087,SRX1167265,SRX1167266,SRX1167267,SRX1167268,SRX1167269,SRX1167270,SRX1167271,SRX1167272,SRX1167273,SRX1167274,SRX1167275,SRX1167276,SRX1167277,SRX1167278,SRX1167279,SRX1167280,SRX1167281,SRX389611,SRX389612,SRX389613,SRX389614,SRX389615,SRX389616,SRX389617,SRX389618,SRX389619,SRX389620,SRX389621,SRX389622,SRX389623,SRX389624,SRX389625,SRX392728,SRX392729,SRX392730,SRX392731,SRX392732,SRX392733,SRX392734,SRX392735,SRX392736,SRX392737,SRX392738,SRX392739,SRX392740,SRX392741,SRX392742,SRX392743,SRX392744,SRX392745,SRX392756,SRX392757,SRX392758,SRX392759,SRX392760,SRX392763,SRX392764,SRX392765,SRX392766"
mm9,Blood,Hematopoietic Stem Cells,252,"SRX022208,SRX022209,SRX022210,SRX022211,SRX022212,SRX022213,SRX031187,SRX031188,SRX035990,SRX035991,SRX035992,SRX035993,SRX061974,SRX061977,SRX061980,SRX061983,SRX084826,SRX084829,SRX084832,SRX084837,SRX1014059,SRX1014060,SRX1014061,SRX1014062,SRX1014063,SRX1014064,SRX1014065,SRX1014066,SRX1014067,SRX1014068,SRX1014069,SRX1014070,SRX1014071,SRX1014072,SRX1014073,SRX1014074,SRX1092609,SRX1092610,SRX1092611,SRX1092612,SRX1092613,SRX1092614,SRX1092615,SRX1092616,SRX1092617,SRX1092618,SRX1092619,SRX1092620,SRX1092621,SRX1122899,SRX1122900,SRX1122901,SRX1122902,SRX1122903,SRX1122904,SRX1122905,SRX1122906,SRX1122907,SRX1122908,SRX1122909,SRX1122910,SRX1122911,SRX1184109,SRX1184110,SRX1184111,SRX1254999,SRX1255000,SRX1255007,SRX127368,SRX127369,SRX127382,SRX127395,SRX127408,SRX1293139,SRX1293140,SRX1293141,SRX1293142,SRX1293143,SRX1293144,SRX1293145,SRX130469,SRX130470,SRX130471,SRX1338947,SRX1338948,SRX1484857,SRX1484858,SRX1484859,SRX1484860,SRX1484861,SRX1484862,SRX1484863,SRX1484864,SRX1484865,SRX1484866,SRX1484867,SRX1484868,SRX1484869,SRX1484870,SRX1484871,SRX1484872,SRX1484873,SRX1484874,SRX1484875,SRX1484876,SRX1484877,SRX1484878,SRX1484879,SRX1484880,SRX1484881,SRX1484882,SRX1520512,SRX1520513,SRX1520514,SRX1520515,SRX1553105,SRX1553106,SRX1594782,SRX1594783,SRX1594784,SRX1594785,SRX1594786,SRX180155,SRX180156,SRX180157,SRX180158,SRX180159,SRX180160,SRX180161,SRX180162,SRX180163,SRX180164,SRX180165,SRX180166,SRX203201,SRX203219,SRX211460,SRX211461,SRX211462,SRX211463,SRX211464,SRX211465,SRX211466,SRX211467,SRX211468,SRX211469,SRX278524,SRX278525,SRX278526,SRX278527,SRX278528,SRX278529,SRX278530,SRX278531,SRX278532,SRX278533,SRX278534,SRX299534,SRX299535,SRX299536,SRX299537,SRX299538,SRX299539,SRX299540,SRX299541,SRX299542,SRX299543,SRX299544,SRX299545,SRX299546,SRX299547,SRX299548,SRX299549,SRX306586,SRX306587,SRX306588,SRX306589,SRX306590,SRX323414,SRX323415,SRX323416,SRX507965,SRX507966,SRX507967,SRX507968,SRX507969,SRX507970,SRX507971,SRX507972,SRX507973,SRX507974,SRX507975,SRX540683,SRX540699,SRX587736,SRX587737,SRX587738,SRX587739,SRX587740,SRX658374,SRX658375,SRX658376,SRX658390,SRX658391,SRX658392,SRX658406,SRX658407,SRX658408,SRX658422,SRX658423,SRX658424,SRX668829,SRX668830,SRX668831,SRX668832,SRX668833,SRX668834,SRX668835,SRX746909,SRX746910,SRX747322,SRX747323,SRX747324,SRX747325,SRX747326,SRX747327,SRX759244,SRX759245,SRX759246,SRX759247,SRX759248,SRX759249,SRX759250,SRX759251,SRX759252,SRX759473,SRX759474,SRX759475,SRX818459,SRX818460,SRX818461,SRX818462,SRX818463,SRX818464,SRX835917,SRX835921,SRX835925,SRX976590,SRX976591,SRX976592,SRX976593,SRX976594"
mm9,Blood,Hematopoietic progenitors,14,"SRX1939436,SRX1939437,SRX1939438,SRX1939439,SRX1939440,SRX1939441,SRX1939442,SRX1939443,SRX1939444,SRX1939445,SRX1939446,SRX1939447,SRX1939448,SRX1939449"
mm9,Blood,ILC2,5,"SRX1115325,SRX1115326,SRX1115327,SRX349376,SRX349377"
mm9,Blood,ILC87,9,"SRX1205892,SRX1205893,SRX1205894,SRX692976,SRX692977,SRX692978,SRX692979,SRX692980,SRX692981"
mm9,Blood,L8057,10,"SRX105446,SRX105447,SRX105448,SRX105449,SRX105450,SRX105451,SRX105452,SRX105453,SRX105454,SRX105455"
mm9,Blood,Leukemia,8,"SRX1179560,SRX1179561,SRX1179562,SRX1179563,SRX1179564,SRX1179565,SRX1179566,SRX1179567"
mm9,Blood,Leukemia stem cell lines,7,"SRX1122923,SRX1122924,SRX1122925,SRX1122926,SRX1122927,SRX1122928,SRX1122929"
mm9,Blood,"Leukemia, B-Cell",2,"SRX2162139,SRX2162140"
mm9,Blood,"Leukemia, Lymphoid",29,"SRX070891,SRX070892,SRX070893,SRX070894,SRX070895,SRX070896,SRX467482,SRX467483,SRX467484,SRX672287,SRX672288,SRX672289,SRX672290,SRX886469,SRX886470,SRX886471,SRX886472,SRX886473,SRX886474,SRX886475,SRX886476,SRX886477,SRX886478,SRX886482,SRX886483,SRX886484,SRX886485,SRX886486,SRX886487"
mm9,Blood,"Leukemia, Myeloid",55,"SRX1116357,SRX1116358,SRX1116359,SRX1116360,SRX1116361,SRX1116362,SRX1116363,SRX1116364,SRX1116365,SRX1116366,SRX1116367,SRX1116368,SRX1527580,SRX1527581,SRX1527582,SRX1527583,SRX1527584,SRX1527585,SRX1642489,SRX1642491,SRX1642493,SRX1642497,SRX1642498,SRX1642499,SRX1642500,SRX1642501,SRX1642502,SRX1642503,SRX1642504,SRX2370784,SRX2370785,SRX2370786,SRX2370787,SRX275703,SRX275704,SRX275705,SRX275706,SRX319739,SRX319740,SRX319741,SRX319742,SRX319743,SRX319744,SRX467478,SRX467479,SRX467480,SRX467481,SRX760019,SRX760020,SRX760021,SRX760022,SRX760023,SRX760024,SRX760025,SRX760026"
mm9,Blood,Leukemic bone marrow,41,"SRX212164,SRX212165,SRX212166,SRX471242,SRX471243,SRX471244,SRX471245,SRX471246,SRX471247,SRX471248,SRX471249,SRX471250,SRX471251,SRX471252,SRX471253,SRX471254,SRX471255,SRX471256,SRX471257,SRX471258,SRX471259,SRX471260,SRX471261,SRX471262,SRX471263,SRX471264,SRX471265,SRX471266,SRX471267,SRX471268,SRX471269,SRX471270,SRX471271,SRX471272,SRX471273,SRX471274,SRX471275,SRX471276,SRX471277,SRX471278,SRX471279"
mm9,Blood,Lymph Nodes,2,"SRX1989128,SRX1989132"
mm9,Blood,Lymphoid cells,4,"SRX021894,SRX971601,SRX971602,SRX971603"
mm9,Blood,Lymphoma cell lines,8,"SRX2522376,SRX2522377,SRX2522378,SRX2522379,SRX2522380,SRX2522381,SRX2522382,SRX2522383"
mm9,Blood,"Lymphoma, T-Cell",2,"SRX1880290,SRX1880291"
mm9,Blood,M12,2,"SRX1460313,SRX1460314"
mm9,Blood,MEL,117,"SRX015120,SRX021428,SRX021429,SRX021430,SRX021431,SRX021432,SRX097682,SRX097683,SRX097684,SRX097687,SRX1387481,SRX140355,SRX140356,SRX140357,SRX140358,SRX140359,SRX140360,SRX140362,SRX140366,SRX140367,SRX140368,SRX140370,SRX140376,SRX140377,SRX140378,SRX140379,SRX140382,SRX140384,SRX140386,SRX140390,SRX140391,SRX140392,SRX140395,SRX140396,SRX140397,SRX140398,SRX140399,SRX143799,SRX143804,SRX143836,SRX145053,SRX145054,SRX145057,SRX145058,SRX1649845,SRX185794,SRX185808,SRX185862,SRX185863,SRX185875,SRX185876,SRX185877,SRX185878,SRX186783,SRX186784,SRX186786,SRX186787,SRX186788,SRX186792,SRX186793,SRX186794,SRX186796,SRX186797,SRX188651,SRX188795,SRX188796,SRX188797,SRX188798,SRX188799,SRX188800,SRX188804,SRX188805,SRX188807,SRX188808,SRX188809,SRX188810,SRX188811,SRX188814,SRX188817,SRX188818,SRX188824,SRX188825,SRX188826,SRX188828,SRX188832,SRX191034,SRX191038,SRX191039,SRX191049,SRX2370648,SRX2370649,SRX2370650,SRX2370662,SRX2370663,SRX2370664,SRX2524164,SRX2524165,SRX2524168,SRX2524169,SRX2524170,SRX2524171,SRX2524178,SRX2524179,SRX2524180,SRX2524181,SRX277329,SRX277330,SRX277331,SRX277332,SRX282674,SRX467561,SRX665194,SRX665195,SRX665196,SRX665197,SRX665198,SRX665199"
